SampleID	PrimerPairID	BarcodeID	ProjectID	MiSeqRun
Carex_cf_microptera_14638	rbcL_5	Foxtrot280	rbcL	150807
Carex_straminiformis_13548	trnT	Golf296	trn_ab	150807
Carex_straminiformis_13548	rbcL_5	Kilo488	rbcL	150807
Carex_nardina_13549	trnT	Golf304	trn_ab	150807
Carex_nardina_13549	rbcL_5	Kilo496	rbcL	150807
Carex_straminiformis_13563	trnT	Golf310	trn_ab	150807
Carex_straminiformis_13563	rbcL_5	Kilo502	rbcL	150807
Carex_cf_scopulorum_14018	rbcL_5	Lima542	rbcL	150807
Carex_cf_scopulorum_14018	trnT	Hotel350	trn_ab	150807
Carex_nardina_14026	rbcL_5	Lima554	rbcL	150807
Carex_nardina_14026	trnT	Hotel362	trn_ab	150807
Carex_straminiformis_14226	trnT	Alpha5	trn_ab	150807
Carex_straminiformis_14226	ITS	India400	ITS	150807
Carex_straminiformis_14226	rbcL_5	India389	rbcL	150807
Carex_straminiformis_14226	trnLF	Alpha7	trn_cf	150807
Carex_cf_luzulina_14458	trnT	Echo200	trn_ab	150807
Carex_cf_luzulina_14458	rbcL_5	Echo200	rbcL	150807
Carex_cf_luzulina_14458	trnLF	Echo220	trn_cf	150807
Carex_cf_luzulina_14458	ITS	Echo222	ITS	150807
Carex_straminiformis_14659 	rbcL_5	Alpha19	rbcL	150807
Carex_straminiformis_14659 	trnT	India403	trn_ab	150807
Carex_straminiformis_14659 	trnLF	Kilo504	trn_cf	150807
Carex_nardina_14709	trnT	Juliett452	trn_ab	150807
Carex_nardina_14709	trnLF	Lima561	trn_cf	150807
Carex_nardina_14709	rbcL_5	Bravo68	rbcL	150807
Cassiope_mertensiana_var_gracilis_14022	rbcL_5	Lima544	rbcL	150807
Cassiope_mertensiana_var_gracilis_14022	trnT	Hotel352	trn_ab	150807
Cassiope_mertensiana_var_gracilis_14292	trnT	Bravo76	trn_ab	150807
Cassiope_mertensiana_var_gracilis_14292	ITS	Juliett456	ITS	150807
Cassiope_mertensiana_var_gracilis_14292	trnLF	Bravo80	trn_cf	150807
Cassiope_mertensiana_var_gracilis_14292	rbcL_5	Juliett460	rbcL	150807
Cassiope_mertensiana_var_gracilis_14646	trnT	India396	trn_ab	150807
Cassiope_mertensiana_var_gracilis_14646	trnLF	Kilo505	trn_cf	150807
Cassiope_mertensiana_var_gracilis_14646	rbcL_5	Alpha12	rbcL	150807
Castilleja_applegatei_14237	trnLF	Alpha28	trn_cf	150807
Castilleja_applegatei_14644	trnLF	Kilo496	trn_cf	150807
Castilleja_applegatei_14644	trnT	India395	trn_ab	150807
Castilleja_applegatei_14644	rbcL_5	Alpha11	rbcL	150807
Castilleja_cusickii_14238	trnT	Alpha26	trn_ab	150807
Castilleja_cusickii_14238	rbcL_5	India410	rbcL	150807
Castilleja_cusickii_14238	trnLF	Alpha21	trn_cf	150807
Castilleja_cusickii_14238	ITS	India406	ITS	150807
Castilleja_cusickii_14296	trnT	Bravo78	trn_ab	150807
Castilleja_cusickii_14296	ITS	Juliett466	ITS	150807
Castilleja_cusickii_14296	rbcL_5	Juliett462	rbcL	150807
Castilleja_cusickii_14296	trnLF	Bravo90	trn_cf	150807
Castilleja_cusickii_14331	ITS	Alpha20	ITS	150807
Castilleja_cusickii_14331	rbcL_5	Golf304	rbcL	150807
Castilleja_cusickii_14331	trnT	Charlie112	trn_ab	150807
Castilleja_cusickii_14331	trnLF	Charlie124	trn_cf	150807
Castilleja_cusickii_14368	rbcL_5	Hotel339	rbcL	150807
Castilleja_cusickii_14368	trnT	Delta147	trn_ab	150807
Castilleja_cusickii_14368	trnLF	Delta159	trn_cf	150807
Castilleja_cusickii_14368	ITS	Bravo65	ITS	150807
Castilleja_miniata_14289	ITS	Juliett462	ITS	150807
Castilleja_miniata_14289	trnT	Bravo67	trn_ab	150807
Castilleja_miniata_14289	rbcL_5	Juliett451	rbcL	150807
Castilleja_miniata_14289	trnLF	Bravo71	trn_cf	150807
Castilleja_miniata_14332	rbcL_5	Golf305	rbcL	150807
Castilleja_miniata_14332	trnT	Charlie113	trn_ab	150807
Castilleja_miniata_14332	trnLF	Charlie117	trn_cf	150807
Castilleja_miniata_14332	ITS	Alpha28	ITS	150807
Castilleja_miniata_14369	trnT	Delta155	trn_ab	150807
Castilleja_miniata_14369	rbcL_5	Hotel347	rbcL	150807
Castilleja_miniata_14369	ITS	Bravo73	ITS	150807
Castilleja_miniata_14369	trnLF	Delta152	trn_cf	150807
Castilleja_miniata_14586	trnT	Echo230	trn_ab	150807
Castilleja_miniata_14586	rbcL_5	Echo230	rbcL	150807
Castilleja_miniata_14586	trnLF	Foxtrot243	trn_cf	150807
Castilleja_miniata_14586	ITS	Foxtrot245	ITS	150807
Castilleja_rhexiifolia_14406	rbcL_5	Hotel349	rbcL	150807
Castilleja_rhexiifolia_14406	trnT	Delta157	trn_ab	150807
Castilleja_rhexiifolia_14406	trnLF	Delta162	trn_cf	150807
Castilleja_rhexiifolia_14406	ITS	Bravo75	ITS	150807
Cerastium_arvense_14575	trnT	Echo224	trn_ab	150807
Cerastium_arvense_14575	rbcL_5	Echo224	rbcL	150807
Cerastium_arvense_14575	ITS	Echo231	ITS	150807
Cerastium_arvense_14575	trnLF	Echo229	trn_cf	150807
Cerastium_beeringianum_14451	trnT	Echo204	trn_ab	150807
Cerastium_beeringianum_14451	ITS	Echo211	ITS	150807
Cerastium_beeringianum_14451	rbcL_5	Echo204	rbcL	150807
Cerastium_beeringianum_14451	trnLF	Echo209	trn_cf	150807
Cerastium_beeringianum_14628	trnLF	Foxtrot280	trn_cf	150807
Cerastium_beeringianum_14628	rbcL_5	Foxtrot275	rbcL	150807
Cerastium_beeringianum_14628	trnT	Foxtrot275	trn_ab	150807
Cerastium_beeringianum_14632	trnLF	Kilo490	trn_cf	150807
Cerastium_beeringianum_14632	rbcL_5	Foxtrot277	rbcL	150807
Cerastium_beeringianum_14632	trnT	Foxtrot277	trn_ab	150807
Cerastium_beeringianum_14687	trnT	Juliett433	trn_ab	150807
Cerastium_beeringianum_14687	trnLF	Lima534	trn_cf	150807
Cerastium_beeringianum_14687	rbcL_5	Bravo49	rbcL	150807
Chaenactis_alpina_13553	trnT	Golf314	trn_ab	150807
Chaenactis_alpina_13553	rbcL_5	Kilo506	rbcL	150807
Chaenactis_alpina_13579	rbcL_5	Kilo525	rbcL	150807
Chaenactis_alpina_13579	trnT	Golf333	trn_ab	150807
Chaenactis_alpina_14283	trnT	Bravo56	trn_ab	150807
Chaenactis_alpina_14283	ITS	Juliett459	ITS	150807
Chaenactis_alpina_14283	trnLF	Bravo68	trn_cf	150807
Chaenactis_alpina_14283	rbcL_5	Juliett440	rbcL	150807
Chaenactis_alpina_14297	ITS	Juliett474	ITS	150807
Chaenactis_alpina_14297	rbcL_5	Juliett455	rbcL	150807
Chaenactis_alpina_14297	trnLF	Bravo83	trn_cf	150807
Chaenactis_alpina_14297	trnT	Bravo71	trn_ab	150807
Chaenactis_alpina_14337	rbcL_5	Golf315	rbcL	150807
Chaenactis_alpina_14337	trnT	Charlie123	trn_ab	150807
Chaenactis_alpina_14337	ITS	Alpha41	ITS	150807
Chaenactis_alpina_14337	trnLF	Charlie127	trn_cf	150807
Chaenactis_alpina_14433	trnLF	Delta191	trn_cf	150807
Chaenactis_alpina_14433	ITS	Echo194	ITS	150807
Chaenactis_alpina_14433	rbcL_5	Hotel371	rbcL	150807
Chaenactis_alpina_14433	trnT	Delta179	trn_ab	150807
Chionophila_tweedyi_14008	rbcL_5	Lima530	rbcL	150807
Chionophila_tweedyi_14008	trnT	Hotel338	trn_ab	150807
Chionophila_tweedyi_14013	trnT	Hotel348	trn_ab	150807
Chionophila_tweedyi_14013	rbcL_5	Lima540	rbcL	150807
Chionophila_tweedyi_14294	trnLF	Bravo89	trn_cf	150807
Chionophila_tweedyi_14294	trnT	Bravo77	trn_ab	150807
Chionophila_tweedyi_14294	ITS	Juliett465	ITS	150807
Chionophila_tweedyi_14294	rbcL_5	Juliett461	rbcL	150807
Cirsium_scariosum_14435	ITS	Echo195	ITS	150807
Cirsium_scariosum_14435	trnLF	Echo193	trn_cf	150807
Cirsium_scariosum_14435	rbcL_5	Hotel372	rbcL	150807
Cirsium_scariosum_14435	trnT	Delta180	trn_ab	150807
Cirsium_subniveum_14288	trnT	Bravo74	trn_ab	150807
Cirsium_subniveum_14288	ITS	Juliett454	ITS	150807
Cirsium_subniveum_14288	rbcL_5	Juliett458	rbcL	150807
Cirsium_subniveum_14288	trnLF	Bravo78	trn_cf	150807
Cistanthe_umbellata_14434	rbcL_5	Hotel379	rbcL	150807
Cistanthe_umbellata_14434	ITS	Echo202	ITS	150807
Cistanthe_umbellata_14434	trnLF	Delta184	trn_cf	150807
Cistanthe_umbellata_14434	trnT	Delta187	trn_ab	150807
Claytonia_megarhiza_14267	ITS	Juliett436	ITS	150807
Claytonia_megarhiza_14267	rbcL_5	India432	rbcL	150807
Claytonia_megarhiza_14267	trnT	Alpha48	trn_ab	150807
Claytonia_megarhiza_14267	trnLF	Bravo52	trn_cf	150807
Claytonia_megarhiza_14293	trnT	Bravo69	trn_ab	150807
Claytonia_megarhiza_14293	trnLF	Bravo81	trn_cf	150807
Claytonia_megarhiza_14293	ITS	Juliett464	ITS	150807
Claytonia_megarhiza_14293	rbcL_5	Juliett453	rbcL	150807
Claytonia_megarhiza_14341	trnT	Charlie125	trn_ab	150807
Claytonia_megarhiza_14341	trnLF	Charlie137	trn_cf	150807
