"","Row.names","species","ITS","trnTLF","rbcL","matK","atpB","ndhF","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"134","Salix_nivalis","Salix_nivalis","ncbi|1015860215",NA,"miseq|14660","miseq|14660",NA,"miseq|14660",1,0,0,1,0,0,0,0,0,0
"135","Saxifraga_bronchialis","Saxifraga_bronchialis","miseq|14006","miseq|14006",NA,"miseq|14006","miseq|14006","miseq|14006",0,1,0,0,0,0,0,0,0,0
"136","Saxifraga_mertensiana","Saxifraga_mertensiana","ncbi|32395745","miseq|14424","ncbi|459084","miseq|14424","miseq|14570","miseq|14424",1,0,0,0,0,1,0,1,0,0
"137","Saxifraga_oppositifolia","Saxifraga_oppositifolia","miseq|14708","ncbi|14248852","ncbi|459086","miseq|14708",NA,NA,0,0,0,1,0,0,0,0,0,0
"138","Sedum_debile","Sedum_debile",NA,NA,NA,NA,NA,"miseq|14272",1,0,1,1,0,0,0,0,0,0
"139","Sedum_lanceolatum","Sedum_lanceolatum","miseq|13576","miseq|13539","miseq|14137",NA,NA,"miseq|13539",1,1,0,1,1,1,1,1,0,1
"140","Selaginella_densa","Selaginella_densa","ncbi|932248466",NA,"ncbi|27448379",NA,NA,NA,0,0,1,0,0,0,0,0,1,0
"141","Selaginella_watsonii","Selaginella_watsonii","ncbi|932248628",NA,"ncbi|27448411",NA,NA,NA,0,0,0,0,0,0,0,1,0,0
"142","Senecio_fremontii","Senecio_fremontii","miseq|14005",NA,NA,NA,NA,"miseq|14334",1,1,1,1,1,1,0,1,1,1
"143","Sibbaldia_procumbens","Sibbaldia_procumbens","miseq|13574","miseq|14014","ncbi|957741012","ncbi|459930756","miseq|14227","miseq|14227",1,1,1,1,1,1,1,1,0,1
"144","Silene_acaulis","Silene_acaulis","miseq|13555","ncbi|239837528","ncbi|379033973","ncbi|156125845",NA,"miseq|13555",1,0,0,0,0,0,0,0,0,1
"145","Smelowskia_americana","Smelowskia_americana","miseq|13550","miseq|13550","miseq|14465","miseq|13550","miseq|13550","miseq|13550",0,0,0,1,0,1,0,1,1,1
"146","Solidago_multiradiata","Solidago_multiradiata","miseq|14124","miseq|14124","miseq|14124","miseq|14124","miseq|14653","miseq|14124",1,0,0,1,1,1,0,1,0,0
"147","Stenotus_acaulis","Stenotus_acaulis","miseq|14278",NA,"miseq|14704","miseq|14278",NA,"miseq|14278",1,0,1,1,0,0,0,0,0,0
"148","Symphyotrichum_foliaceum_var_apricum","Symphyotrichum_foliaceum","miseq|14583",NA,NA,"miseq|14430","miseq|14430","miseq|14430",1,0,0,1,0,1,0,1,0,0
"149","Symphyotrichum_spathulatum_var_spathulatum","Symphyotrichum_spathulatum","miseq|14420",NA,NA,"miseq|14420",NA,"miseq|14420",1,0,0,0,0,0,0,1,0,0
"150","Synthyris_dissecta","Synthyris_dissecta","miseq|14028","miseq|14028","miseq|14028",NA,"miseq|14028","miseq|14028",1,0,0,0,0,0,0,0,0,1
"151","Taraxacum_scopulorum","Taraxacum_scopulorum",NA,NA,NA,"miseq|14443","miseq|14443","miseq|14443",0,0,0,0,0,1,0,1,0,0
"152","Tonestus_lyallii","Tonestus_lyallii","miseq|14362",NA,NA,"miseq|14362","miseq|14622","miseq|14308",0,0,1,0,0,1,1,0,1,0
"153","Trisetum_spicatum","Trisetum_spicatum","miseq|13552","miseq|13552","miseq|14692","ncbi|459931168","miseq|14138","miseq|13552",1,0,1,1,1,1,1,1,1,1
"154","Veronica_wormskjoldii","Veronica_wormskjoldii","miseq|14587","ncbi|61675934","miseq|14587","miseq|14587","miseq|14587","miseq|14587",1,0,0,0,0,1,0,0,0,0
"155","Viola_adunca","Viola_adunca","ncbi|359389959","ncbi|261863618","ncbi|424949998","miseq|14576","miseq|14576",NA,1,0,0,0,0,1,0,0,0,0
