"","Tip.Label.160511","Meadow","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"268","Unknown_14447",0,0,0,0,0,0,0,1,0,0
"269","Claytonia_megarhiza_14448",0,0,0,0,0,0,0,1,0,0
"270","Heuchera_parvifolia_var_dissecta_14449",0,0,0,0,0,0,0,1,0,0
"271","Eriogonum_ovalifolium_var_depressum_14450",0,0,0,0,0,0,0,1,0,0
"272","Cerastium_beeringianum_14451",0,0,0,0,0,0,0,1,0,0
"273","Erigeron_compositus_14452",0,0,0,0,0,0,0,1,0,0
"274","Arnica_mollis_14453",0,0,0,0,0,0,0,1,0,0
"275","Arabis_sp_14454",0,0,0,0,0,0,0,1,0,0
"276","Draba_lonchocarpa_14455",0,0,0,0,0,0,0,1,0,0
"277","Astragalus_kentrophyta_14456",0,0,0,0,0,0,0,1,0,0
"278","Carex_sp_14458",0,0,0,0,0,0,0,1,0,0
"279","Hulsea_algida_14459",0,0,0,0,0,0,0,1,0,0
"280","Antennaria_umbrinella_14460",0,0,0,0,0,0,0,1,0,0
"281","Phlox_cf_pulvinata_14461",0,0,0,0,0,0,0,1,0,0
"282","Unknown_14462",0,0,0,0,0,0,0,1,0,0
"283","Unknown_14463",0,0,0,0,0,0,0,1,0,0
"284","Androsace_septentrionalis_14464",0,0,0,0,0,0,0,1,0,0
"285","Smelowskia_calycina_14465",0,0,0,0,0,0,0,1,0,0
"286","Senecio_fremontii_14466",0,0,0,0,0,0,0,1,0,0
"287","Polemonium_viscosum_14467",0,0,0,0,0,0,0,1,0,0
"288","Carex_cf_straminiformis_14468",0,0,0,0,0,0,0,1,0,0
"289","Smelowskia_calycina_14469",0,0,0,0,0,0,0,1,0,0
"290","Saxifraga_mertensiana_14570",1,0,0,0,0,1,0,0,0,0
"291","Potentilla_glaucophylla_var_glaucophylla_14572",1,0,0,0,0,1,0,0,0,0
"292","Polygonum_viviparum_14573",1,0,0,0,0,1,0,0,0,0
"293","Erythranthe_tilingii_14574",1,0,0,0,0,1,0,0,0,0
"294","Cerastium_arvense_14575",1,0,0,0,0,1,0,0,0,0
"295","Viola_cf_adunca_14576",1,0,0,0,0,1,0,0,0,0
"296","Gentiana_calycosa_14577",1,0,0,0,0,1,0,0,0,0
"297","Salix_arctica_14578",1,0,0,0,0,1,0,0,0,0
"298","Unknown_14579",1,0,0,0,0,1,0,0,0,0
"299","Packera_subnuda_14580",1,0,0,0,0,1,0,0,0,0
"300","Phyllodoce_glanduliflora_14581",1,0,0,0,0,1,0,0,0,0
"301","Arnica_chamissonis_14582",1,0,0,0,0,1,0,0,0,0
"302","Aster_foliaceus_var_apricus_14583",1,0,0,0,0,1,0,0,0,0
"303","Bistorta_bistortoides_14584",1,0,0,0,0,1,0,0,0,0
"304","Unknown_14585",1,0,0,0,0,1,0,0,0,0
"305","Castilleja_miniata_14586",1,0,0,0,0,1,0,0,0,0
"306","Veronica_wormskjoldii_14587",1,0,0,0,0,1,0,0,0,0
"307","Eremogone_congesta_14589",1,0,0,0,0,1,0,0,0,0
"308","Juncus_sp_14590",1,0,0,0,0,1,0,0,0,0
"309","Antennaria_alpina_14591",1,0,0,0,0,1,0,0,0,0
"310","Lewisia_pygmaea_var_pygmara_14592",1,0,0,0,0,1,0,0,0,0
"311","Potentilla_glaucophylla_var_glaucophylla_14593",1,0,0,0,0,1,0,0,0,0
"312","Unknown_14594",1,0,0,0,0,1,0,0,0,0
"313","Solidago_multiradiata_14595",1,0,0,0,0,1,0,0,0,0
"314","Pedicularis_groenlandica_14596",1,0,0,0,0,1,0,0,0,0
"315","Phyllodoce_empetriformis_14597",1,0,0,0,0,1,0,0,0,0
"316","Astragalus_cf_eucosmus_14598",0,0,0,0,0,1,0,0,0,0
"317","Arnica_latifolia_14599",0,0,0,0,0,1,0,0,0,0
"318","Erigeron_grandiflorus_14600",0,0,0,0,0,1,0,0,0,0
"319","Antennaria_umbrinella_14601",0,0,0,0,0,1,0,0,0,0
"320","Eriogonum_ovalifolium_var_depressum_14602",0,0,0,0,0,1,0,0,0,0
"321","Carex_elynoides_14603",0,0,0,0,0,1,0,0,0,0
"322","Draba_oligosperma_14604",0,0,0,0,0,1,0,0,0,0
"323","Draba_cf_densifolia_14605",0,0,0,0,0,1,0,0,0,0
"324","Minuartia_cf_obtusiloba_14606",0,0,0,0,0,1,0,0,0,0
"325","Eriogonum_crosbyae_14607",0,0,0,0,0,1,0,0,0,0
"326","Minuartia_obtusiloba_14608",0,0,0,0,0,1,0,0,0,0
"327","Aster_alpinus_14609",0,0,0,0,0,1,0,0,0,0
"328","Draba_lonchocarpa_14610",0,0,0,0,0,1,0,0,0,0
"329","Sedum_lanceolatum_var_lanceolatum_14611",0,0,0,0,0,1,0,0,0,0
"330","Erigeron_lonchophyllus_14612",0,0,0,0,0,1,0,0,0,0
"331","Ivesia_gordonii_14613",0,0,0,0,0,1,0,0,0,0
"332","Claytonia_megarhiza_14614",0,0,0,0,0,1,0,0,0,0
"333","Taraxacum_lyratum_14615",0,0,0,0,0,1,0,0,0,0
"334","Smelowskia_calycina_14617",0,0,0,0,0,1,0,0,0,0
"335","Ribes_lacustre_14618",0,0,0,0,0,1,0,0,0,0
"336","Achillea_millefolium_var_alpicola_14619",0,0,0,0,0,1,0,0,0,0
"337","Astragalus_kentrophyta_14620",0,0,0,0,0,1,0,0,0,0
"338","Minuartia_obtusiloba_14621",0,0,0,0,0,1,0,0,0,0
"339","Tonestus_lyallii_14622",0,0,0,0,0,1,0,0,0,0
"340","Erigeron_compositus_14623",0,0,0,0,0,1,0,0,0,0
"341","Phlox_cf_diffusa_14624",0,0,0,0,0,1,0,0,0,0
"342","Heuchera_parvifolia_var_dissecta_14625",0,0,0,0,0,1,0,0,0,0
"343","Haplopappus_macronema_14626",0,0,0,0,0,1,0,0,0,0
"344","Hulsea_algida_14627",0,0,0,0,0,1,0,0,0,0
"345","Cerastium_beeringianum_14628",0,0,0,0,0,1,0,0,0,0
"346","Draba_lonchocarpa_14629",0,0,0,0,0,1,0,0,0,0
"347","Arabis_cf_lemonii_14630",0,0,0,0,0,1,0,0,0,0
"348","Oxyria_digyna_14631",0,0,0,0,0,1,0,0,0,0
"349","Cerastium_beeringianum_14632",0,0,0,0,0,1,0,0,0,0
"350","Polemonium_viscosum_14633",0,0,0,0,0,1,0,0,0,0
"351","Potentilla_glandulosa_14634",0,0,0,0,0,1,0,0,0,0
"352","Carex_cf_straminiformis_14635",0,0,0,0,0,1,0,0,0,0
"353","Unknown_14636",0,0,0,0,0,1,0,0,0,0
"354","Juncus_sp_14637",0,0,0,0,0,1,0,0,0,0
"355","Carex_microptera_14638",0,0,0,0,0,1,0,0,0,0
"356","Unknown_14639",0,0,0,0,0,1,0,0,0,0
