Annotated_Name,Annotated_Tip,Tip Label 190117,Tip Label 161228,Tip Label 160511,Species ,MiSeq ,PHLAWD,DNA log Species Name,DNA accession #,Tube ,Extraction Date,Collection ,Date Collected,Locality,Summit,Range,Meadow,Occurrence,Elevation (ft),WGS N,WGS W
Arnica_latifolia,Arnica_latifolia,Arnica_latifolia_14303,Arnica_latifolia_14303,Arnica_latifolia_14303,Arnica_latifolia,14303,,Arnica latifolia,2014-303,14303,26-May-14,Marx 2013-072,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Arnica_latifolia,Arnica_latifolia,Arnica_latifolia_14316,Arnica_latifolia_14316,Arnica_latifolia_14316,Arnica_latifolia,14316,,Arnica latifolia,2014-316,14316,30-May-14,Marx 2013-085,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Arnica_latifolia,Arnica_latifolia,Arnica_latifolia_14361,Arnica_latifolia_14361,Arnica_latifolia_14361,Arnica_latifolia,14361,,Arnica latifolia,2014-361,14361,2-Jun-14,Marx 2013-132,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: collected at second treeline only,Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142
Arnica_latifolia,Arnica_latifolia,Arnica_latifolia_14599,Arnica_latifolia_14599,Arnica_latifolia_14599,Arnica_latifolia,14599,,Arnica latifolia,2014-599,14599,12-Jun-14,Marx 2013-298,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312
Arnica_latifolia,NA,NA,NA,NA,,,,,,,,Marx 2013-417,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Arnica_latifolia_var_gracilis,Arnica_latifolia_var_gracilis,Arnica_latifolia_var_gracilis_13577,Arnica_latifolia_var_gracilis_13577,Arnica_latifolia_var_gracilis_13577,Arnica_latifolia_var_gracilis,13577,,Arnica latifolia var. gracilis,2013-577,13577,30-Dec-13,Marx 2012-044,10-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Braxon Peak: Summit down south face to treeline,Braxon Peak,Sawtooth Mountains,0,1,10353,44.09333,-115.99681
Arnica_latifolia_var_gracilis,Arnica_latifolia_var_gracilis,Arnica_latifolia_var_gracilis_14128,Arnica_latifolia_var_gracilis_14128,Arnica_latifolia_var_gracilis_14128,Arnica_latifolia_var_gracilis,14128,,Arnica latifolia var. gracilis,2014-128,14128,10-Feb-14,Zion  2012-006,7-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,Horstmann Peak,Sawtooth Mountains,0,1,10350,44.1117,-115.00318
Arnica_mollis,Arnica_mollis,Arnica_mollis_14453,Arnica_mollis_14453,Arnica_mollis_14453,Arnica_mollis,14453,Arnica_mollis,Arnica mollis,2014-453,14453,10-Jun-14,Marx 2013-251,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942
Arnica_parryi,Arnica_parryi,Arnica_parryi_14240,Arnica_parryi_14240,Arnica_parryi_14240,Arnica_parryi,14240,,Arnica parryi,2014-240,14240,7-Mar-14,Marx 2013-145,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Artemisia_dracunculus,Artemisia_dracunculus,Artemisia_dracunculus_14284,Artemisia_dracunculus_14284,Artemisia_dracunculus_14284,Artemisia_dracunculus,14284,Artemisia_dracunculus,Artemisia dracunculus,2014-284,14284,26-May-14,Marx 2013-190,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
