Annotated Name,Tip Label 160511,Species ,Extraction #,PHLAWD,DNA Log Species Name,Collection #,ID for database,Date Collected,Summit,Occurrence,Range,Meadow,Locality Detail,Elevation (ft.),WGS N,WGS W,Leaf Sample
Juncus_sp,Luzula_sp_14129,Luzula_sp,14129,,Luzula,Zion  2012-007,NA,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Epilobium_obcordatum,Epilobium_obcordatum_14130,Epilobium_obcordatum,14130,Epilobium_obcordatum,Epilobium obcordatum,Zion  2012-008,Epilobium obcordatum,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
NA,NA,NA,NA,Eriogonum_ovalifolium,Eriogonum ovalifolium var. purpureum,Zion  2012-009,Eriogonum ovalifolium ,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Poa_sp,Poa_sp_14132,Poa_sp,14132,,Poa,Zion  2012-010,NA,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Eriogonum_ovalifolium_var_purpureum,Eriogonum_ovalifolium_var_purpureum_14133,Eriogonum_ovalifolium_var_purpureum,14133,Eriogonum_ovalifolium,Eriogonum ovalifolium var. purpureum,Zion  2012-011,Eriogonum ovalifolium ,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Lomatium_sp,Lomatium_sp_14134,Lomatium_sp,14134,,Lomatium sp. ,Zion  2012-012,Lomatium sp. ,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
NA,NA,NA,NA,,NOTHING COLLECTED,Zion  2012-013,NOTHING COLLECTED,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Achillea_millefolium_var_alpicola,Achillea_millefolium_var_alpicola_14136,Achillea_millefolium_var_alpicola,14136,Achillea_millefolium,Achillea millefolium var. alpicola,Zion  2012-014,Achillea millefolium var. alpicola,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Sedum_lanceolatum_var_lanceolatum,Sedum_lanceolatum_var_lanceolatum_14137,Sedum_lanceolatum_var_lanceolatum,14137,Sedum_lanceolatum,Sedum lanceolatum var. lanceolatum,Zion  2012-015,Sedum lanceolatum var. lanceolatum,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Poa_sp,Poa_sp_14138,Poa_sp,14138,,Poa,Zion  2012-016,NA,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Phlox_pulvinata,Phlox_pulvinata_14215,Phlox_pulvinata,14215,,Phlox pulvinata,Zion  2012-017,Phlox pulvinata,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Heuchera_parvifolia_var_dissecta,Heuchera_parvifolia_var_dissecta_14216,Heuchera_parvifolia_var_dissecta,14216,Heuchera_parvifolia,Heuchera parvifolia var. dissecta,Zion  2012-018,Heuchera parvifolia var. dissecta,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
Draba_oreibata,Draba_oreibata_14217,Draba_oreibata,14217,Draba_stenoloba,Draba oreibata,Zion  2012-019,Draba oreibata,7-Aug-12,Horstmann Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,10350,44.11170,115.00318,1
