"","SampleID","PrimerPairID","BarcodeID","ProjectID","MiSeqRun"
"320","Antennaria_umbrinella_13540","rbcL_5","Kilo484","rbcL",150807
"321","Antennaria_umbrinella_13540","atpB","Alpha4","atpB_S1494R_S611",160222
"322","Antennaria_umbrinella_13540","trnT","Golf292","trn_ab",150807
"323","Antennaria_umbrinella_13540","ndhF","Kilo484","ndhF_5_803",160222
"324","Antennaria_umbrinella_13540","ndhF3","Kilo484","ndhF_1318_3",160222
"325","Antennaria_umbrinella_13540","ITS","Echo196","ITS",141219
"326","Antennaria_umbrinella_13540","trnLF","Golf292","trnL_cf",141219
"327","Antennaria_umbrinella_13540","matK","Alpha4","matK_1F_4R",160222
"328","Antennaria_umbrinella_13540","atpB2","Kilo484","atpB_S766R_S3",160222
"329","Antennaria_umbrinella_13540","matK2","Kilo484","matK_3F_3R",160222
"330","Antennaria_umbrinella_13540","ndhF2","Alpha4","ndhF_803_1318",160222
"331","Antennaria_umbrinella_14223","atpB2","India395","atpB_S766R_S3",160222
"332","Antennaria_umbrinella_14223","trnLF","Alpha13","trn_cf",150807
"333","Antennaria_umbrinella_14223","trnT","Alpha11","trn_ab",150807
"334","Antennaria_umbrinella_14223","matK","Charlie107","matK_1F_4R",160222
"335","Antennaria_umbrinella_14223","ndhF2","Charlie107","ndhF_803_1318",160222
"336","Antennaria_umbrinella_14223","ITS","India391","ITS",150807
"337","Antennaria_umbrinella_14223","ndhF3","India395","ndhF_1318_3",160222
"338","Antennaria_umbrinella_14223","matK2","India395","matK_3F_3R",160222
"339","Antennaria_umbrinella_14223","atpB","Charlie107","atpB_S1494R_S611",160222
"340","Antennaria_umbrinella_14223","ndhF","India395","ndhF_5_803",160222
"341","Antennaria_umbrinella_14223","rbcL_5","India395","rbcL",150807
"342","Antennaria_umbrinella_14446","matK2","Echo194","matK_3F_3R",160222
"343","Antennaria_umbrinella_14446","ITS","Echo208","ITS",150807
"344","Antennaria_umbrinella_14446","trnLF","Echo206","trn_cf",150807
"345","Antennaria_umbrinella_14446","ndhF3","Echo194","ndhF_1318_3",160222
"346","Antennaria_umbrinella_14446","trnT","Echo194","trn_ab",150807
"347","Antennaria_umbrinella_14446","ndhF2","Golf290","ndhF_803_1318",160222
